tid,title,url,imdbRating,duration,year,nrOfWins,nrOfNominations
tt1201607,Harry Potter und die Heiligtümer des Todes - Teil 2 (2011),http://www.imdb.com/title/tt1201607/,8.1,7800,2011,33,49
tt1205489,Gran Torino (2008),http://www.imdb.com/title/tt1205489/,8.2,6960,2008,20,8
tt1220719,Ip Man (2008),http://www.imdb.com/title/tt1220719/,8.1,6360,2008,12,10
tt1255953,Die Frau die singt - Incendies (2010),http://www.imdb.com/title/tt1255953/,8.2,8340,2010,36,10
tt1291584,Warrior (2011),http://www.imdb.com/title/tt1291584/,8.3,8400,2011,2,10
tt1305806,In ihren Augen (2009),http://www.imdb.com/title/tt1305806/,8.3,7740,2009,48,34
tt1345836,The Dark Knight Rises (2012),http://www.imdb.com/title/tt1345836/,8.6,9900,2012,28,64
tt1375666,Inception (2010),http://www.imdb.com/title/tt1375666/,8.8,8880,2010,83,110
tt1392214,Prisoners (2013),http://www.imdb.com/title/tt1392214/,8.1,9180,2013,6,15
tt1454029,The Help (2011),http://www.imdb.com/title/tt1454029/,8.1,8760,2011,46,68
tt1454468,Gravity (2013),http://www.imdb.com/title/tt1454468/,8.1,5460,2013,104,75
tt1490017,Lego (2014),http://www.imdb.com/title/tt1490017/,8.3,6000,2014,1,0
tt1504320,The King's Speech (2010),http://www.imdb.com/title/tt1504320/,8.1,7080,2010,86,104
tt1555149,Tropa de Elite 2 - O Inimigo Agora É Outro (2010),http://www.imdb.com/title/tt1555149/,8.1,6900,2010,23,11
tt1675434,Ziemlich beste Freunde (2011),http://www.imdb.com/title/tt1675434/,8.6,6720,2011,25,31
tt1798709,Her (2013),http://www.imdb.com/title/tt1798709/,8.3,7560,2013,42,58
tt1832382,Nader und Simin - eine Trennung (2011),http://www.imdb.com/title/tt1832382/,8.5,7380,2011,60,23
tt1853728,Django Unchained (2012),http://www.imdb.com/title/tt1853728/,8.5,9900,2012,36,58
tt1979320,Rush - Alles für den Sieg (2013),http://www.imdb.com/title/tt1979320/,8.3,7380,2013,4,33
tt2024544,12 Years a Slave (2013),http://www.imdb.com/title/tt2024544/,8.3,8040,2013,131,137
tt2106476,Die Jagd (2012),http://www.imdb.com/title/tt2106476/,8.3,6900,2012,29,37
tt0050598,Ein König in New York (1957),http://www.imdb.com/title/tt0050598/,7.3,6600,1957,0,0
tt0023948,Dinner um acht (1933),http://www.imdb.com/title/tt0023948/,7.9,6660,1933,0,0
tt0037077,The Miracle of Morgan's Creek (1944),http://www.imdb.com/title/tt0037077/,8,5880,1944,3,0
tt0035753,Der Rabe (1943),http://www.imdb.com/title/tt0035753/,7.6,5520,1943,0,0
tt0119167,Funny Games (1997),http://www.imdb.com/title/tt0119167/,7.6,6480,1997,4,5
tt0053459,Das Schreckenshaus des Dr. Rasanoff (1960),http://www.imdb.com/title/tt0053459/,7.8,5280,1960,0,0
tt0073540,Picknick am Valentinstag (1975),http://www.imdb.com/title/tt0073540/,7.6,6900,1975,3,11
